Data Classification,Category,Value,Year
Natural Gas,LNGCC,447.3333333, 2004b
Natural Gas,LNGCC,435,2005
Natural Gas,LNGCC,518.8,2010
Natural Gas,LNGCC,523.65, 1996b
Natural Gas,LNGCC,508.19,2001
Natural Gas,LNGCC,428,2005
Natural Gas,LNGCT,607.6, 1996b
Natural Gas,LNGCT,651.47,1997
Natural Gas,NGCC,407,2010
Natural Gas,NGCC,516.631,1995
Natural Gas,NGCC,454.286,1998
Natural Gas,NGCC,411,1997
Natural Gas,NGCC,448,2007
Natural Gas,NGCC,681.7, 1996a
Natural Gas,NGCC,392, 2004a
Natural Gas,NGCC,420, 2004b
Natural Gas,NGCC,390, 2004b
Natural Gas,NGCC,444, 2004b
Natural Gas,NGCC,472,2005
Natural Gas,NGCC,423, 2007a
Natural Gas,NGCC,424.75,1997
Natural Gas,NGCC,421,1991
Natural Gas,NGCC,450,1991
Natural Gas,NGCC,510,2001
Natural Gas,NGCC,389,1995
Natural Gas,NGCC,537.5,2007
Natural Gas,NGCC,493,1997
Natural Gas,NGCC,405.096,1997
Natural Gas,NGCC,537.5,1997
Natural Gas,NGCC,440.2,2001
Natural Gas,NGCC,464,2002
Natural Gas,NGCC,469,2005
Natural Gas,NGCC,466,1998
Natural Gas,NGCC,642,2008
Natural Gas,NGCC,488,2003
Natural Gas,NGCC,484.166964,2009
Natural Gas,NGCC,539.459,1997
Natural Gas,NGCC,306.7865346,2005
Natural Gas,NGCC,451,2006
Natural Gas,NGCC,359.57,2006
Natural Gas,NGCC,412.19,2006
Natural Gas,NGCC,481.6,1994
Natural Gas,NGCC,388.615,2005
Natural Gas,NGCC,350,2010
Natural Gas,NGCC,466.63,1997
Natural Gas,NGCC,433,2000
Natural Gas,NGCC,499.1,2001
Natural Gas,NGCC,439, 2007a
Natural Gas,NGCT,487.5, 2007a
Natural Gas,NGCT,512.5, 2007a
Natural Gas,NGCT,525.75, 2007a
Natural Gas,NGCT,555, 2007a
Natural Gas,NGCT,586, 2007a
Natural Gas,NGCT,637.5, 2007a
Natural Gas,NGCT,655, 2007a
Natural Gas,NGCT,802.5, 2007a
Natural Gas,NGCT,987.5,1995
Natural Gas,NGCT,898.5,1994
Natural Gas,NGCT,548.451,1994
Natural Gas,NGCT,548.513,2005
Natural Gas,NGCT,590,2001
Natural Gas,NGCT,608,2005
