Data Classification,Category,Value,Year
Wind,Mix,5,2010
Wind,Mix,15.967,2010
Wind,Mix,17.167,1997
Wind,Mix,6.25,2010
Wind,Mix,15.967,2010
Wind,Mix,17.167,2003
Wind,Offshore,9.23,2003
Wind,Offshore,9.48,2003
Wind,Offshore,9.82,2007
Wind,Offshore,24,2005
Wind,Offshore,13.4, 2007a
Wind,Offshore,12.3,2008
Wind,Offshore,8.0625,2005
Wind,Offshore,13,2006
Wind,Offshore,9,2006
Wind,Offshore,22,2000
Wind,Offshore,16.5, 2006b
Wind,Offshore,5.281554,2004
Wind,Offshore,22,2009
Wind,Offshore,11.52,2009
Wind,Offshore,12.24,2009
Wind,Offshore,13.68,2003
Wind,Offshore,10.545275,2003
Wind,Offshore,10.8309,2003
Wind,Offshore,11.21935,2007
Wind,Offshore,18,2005
Wind,Offshore,10.05, 2007a
Wind,Offshore,9.7277,2008
Wind,Offshore,9.271875,2005
Wind,Offshore,10.2527,2006
Wind,Offshore,9.145,2006
Wind,Offshore,22.559825,2000
Wind,Offshore,11.77226027, 2006b
Wind,Offshore,7.151224116,2004
Wind,Offshore,15.95,2009
Wind,Offshore,15.264,2009
Wind,Offshore,16.218,2009
Wind,Offshore,10.26,2008
Wind,Onshore,14.8,1998
Wind,Onshore,9.1,2003
Wind,Onshore,7.54,2003
Wind,Onshore,7.9,2003
Wind,Onshore,12.23,2009
Wind,Onshore,31.89428532,2009
Wind,Onshore,34.8173516,2005
Wind,Onshore,10.5, 2007a
Wind,Onshore,9.56, 2007a
Wind,Onshore,13.6,2004
Wind,Onshore,16.9, 1995a
Wind,Onshore,9.1,1998
Wind,Onshore,28.2,1997
Wind,Onshore,14,1997
Wind,Onshore,22,2005
Wind,Onshore,15,2005
Wind,Onshore,20.3,2005
Wind,Onshore,21,2005
Wind,Onshore,27,2005
Wind,Onshore,29.5,2005
Wind,Onshore,40,2005
Wind,Onshore,49,2005
Wind,Onshore,72,2009
Wind,Onshore,2.8,2009
Wind,Onshore,4.2,2009
Wind,Onshore,7.4,2009
Wind,Onshore,11.1,2005
Wind,Onshore,11,2005
Wind,Onshore,16.86,1997
Wind,Onshore,6.98086,1997
Wind,Onshore,12,2008
Wind,Onshore,3.6,2004
Wind,Onshore,2,2004
Wind,Onshore,2,2004
Wind,Onshore,2,2004
Wind,Onshore,3,2004
Wind,Onshore,3,2004
Wind,Onshore,3,2004
Wind,Onshore,3,2004
Wind,Onshore,3,2004
Wind,Onshore,4,2004
Wind,Onshore,4,2004
Wind,Onshore,8,2004
Wind,Onshore,8,2004
Wind,Onshore,10,2004
Wind,Onshore,12,2004
Wind,Onshore,13,2004
Wind,Onshore,15,2004
Wind,Onshore,16,2004
Wind,Onshore,20,2004
Wind,Onshore,26,2004
Wind,Onshore,27,2004
Wind,Onshore,45,2004
Wind,Onshore,48,2004
Wind,Onshore,61,2004
Wind,Onshore,77,2004
Wind,Onshore,81,2003
Wind,Onshore,13,2009
Wind,Onshore,6.2,2009
Wind,Onshore,6.58,2009
Wind,Onshore,9.29,2000
Wind,Onshore,13,1995
Wind,Onshore,20,2002
Wind,Onshore,7.207207207,2002
Wind,Onshore,6,2002
Wind,Onshore,8,2002
Wind,Onshore,15,2002
Wind,Onshore,17,2006
Wind,Onshore,11,1996
Wind,Onshore,12.06,1996
Wind,Onshore,22.59,1996
Wind,Onshore,34.63,2009
Wind,Onshore,3,2004
Wind,Onshore,7.2,2004
Wind,Onshore,7.3,2004
Wind,Onshore,11,2004
Wind,Onshore,11,2000
Wind,Onshore,9.7,1994
Wind,Onshore,11.145,2004
Wind,Onshore,1.71,2004
Wind,Onshore,2.51,2009
Wind,Onshore,12.1,2009
Wind,Onshore,15.8,2009
Wind,Onshore,21.2, 1996c
Wind,Onshore,24.05333333, 1996c
Wind,Onshore,34.87,1996
Wind,Onshore,11,2003
Wind,Onshore,10.3, 2006a
Wind,Onshore,6.974896, 2006b
Wind,Onshore,4.694236,2000
Wind,Onshore,7.9,2000
Wind,Onshore,9.2,2000
Wind,Onshore,24,2000
Wind,Onshore,27,1997
Wind,Onshore,4.53,2004
Wind,Onshore,8.2,2004
Wind,Onshore,8.4,2004
Wind,Onshore,12.2,2004
Wind,Onshore,14.5,1998
Wind,Onshore,8.9,1998
Wind,Onshore,14.4,1998
Wind,Onshore,20.2,2000
Wind,Onshore,15,2006
Wind,Onshore,14,2006
Wind,Onshore,18,2006
Wind,Onshore,34,2001
Wind,Onshore,6.12,2008
Wind,Onshore,9.373333333,1998
Wind,Onshore,9.403333333,2003
Wind,Onshore,7.163,2003
Wind,Onshore,9.006,2003
Wind,Onshore,11.6185,2009
Wind,Onshore,35.52108742,2009
Wind,Onshore,39.89703871,2005
Wind,Onshore,7, 2007a
Wind,Onshore,7.635379689, 2007a
Wind,Onshore,6.346666667,2004
Wind,Onshore,10.08366667, 1995a
Wind,Onshore,9.1,1998
Wind,Onshore,8.46,1997
Wind,Onshore,8.804426267,1997
Wind,Onshore,13.5997644,2005
Wind,Onshore,18.43737357,2005
Wind,Onshore,18.43737357,2005
Wind,Onshore,27.10404023,2005
Wind,Onshore,18.43737357,2005
Wind,Onshore,27.10404023,2005
Wind,Onshore,27.10404023,2005
Wind,Onshore,18.43737357,2005
Wind,Onshore,27.10404023,2009
Wind,Onshore,5.95,2009
Wind,Onshore,5.95,2009
Wind,Onshore,10.878,2009
Wind,Onshore,10.878,2005
Wind,Onshore,8.595379689,2005
Wind,Onshore,16.86,1997
Wind,Onshore,5.737693151,1997
Wind,Onshore,9.132420091,2008
Wind,Onshore,5.243646356,2004
Wind,Onshore,6.213532047,2004
Wind,Onshore,6.454196684,2004
Wind,Onshore,5.39095848,2004
Wind,Onshore,8.47058811,2004
Wind,Onshore,8.831585066,2004
Wind,Onshore,7.23672776,2004
Wind,Onshore,5.878270758,2004
Wind,Onshore,6.303930956,2004
Wind,Onshore,7.271221037,2004
Wind,Onshore,7.838767968,2004
Wind,Onshore,19.75586842,2004
Wind,Onshore,20.71852697,2004
Wind,Onshore,20.15711272,2004
Wind,Onshore,20.11746406,2004
Wind,Onshore,19.80777355,2004
Wind,Onshore,35.55526086,2004
Wind,Onshore,39.73763403,2004
Wind,Onshore,38.61480551,2004
Wind,Onshore,41.60518222,2004
Wind,Onshore,39.30907746,2004
Wind,Onshore,38.71383202,2004
Wind,Onshore,43.286391,2004
Wind,Onshore,42.73147535,2004
Wind,Onshore,44.76882885,2004
Wind,Onshore,42.8178617,2003
Wind,Onshore,13.43737357,2009
Wind,Onshore,5.155790613,2009
Wind,Onshore,5.444983916,2009
Wind,Onshore,7.507388786,2000
Wind,Onshore,10.83333333,1995
Wind,Onshore,13.33333333,2002
Wind,Onshore,7.361882776,2002
Wind,Onshore,13.48442074,2002
Wind,Onshore,13.48442074,2002
Wind,Onshore,13.48442074,2002
Wind,Onshore,13.48442074,2006
Wind,Onshore,10.8621,1996
Wind,Onshore,11.658,1996
Wind,Onshore,21.837,1996
Wind,Onshore,34.73771302,2009
Wind,Onshore,3.88693913,2004
Wind,Onshore,9.36,2004
Wind,Onshore,8.516666667,2004
Wind,Onshore,9.533333333,2004
Wind,Onshore,9.533333333,2000
Wind,Onshore,8.120243531,1994
Wind,Onshore,19.09404636,2004
Wind,Onshore,3.011094,2004
Wind,Onshore,3.254238,2009
Wind,Onshore,11.93866667,2009
Wind,Onshore,15.8,2009
Wind,Onshore,20.91733333, 1996c
Wind,Onshore,16.47292912, 1996c
Wind,Onshore,23.68404023,1996
Wind,Onshore,8.371385084,2003
Wind,Onshore,9.036425668, 2006a
Wind,Onshore,9.48585856, 2006b
Wind,Onshore,8.474660725,2000
Wind,Onshore,9.01826484,2000
Wind,Onshore,10.50228311,2000
Wind,Onshore,9.132420091,2000
Wind,Onshore,10.2739726,1997
Wind,Onshore,4.415764699,2004
Wind,Onshore,9.566666667,2004
Wind,Onshore,6.44,2004
Wind,Onshore,8.54,2004
Wind,Onshore,12.08333333,1998
Wind,Onshore,15.575,1998
Wind,Onshore,14.4,1998
Wind,Onshore,20.87333333,2000
Wind,Onshore,15,2006
Wind,Onshore,14.93333333,2006
Wind,Onshore,25.74,2006
Wind,Onshore,22.55333333,2001
Wind,Onshore,6.426,1997
